date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:47	228834/228834	---M-Z	200	added ('OK')	text/html	etag:%22893ffdeace206b3dad30d96afbbe59d4%22	https://demo.hasthemes.com/autima-preview/autima/index.html	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/index.html	(from )
10:36:49	216/216	---MCZ	403	error ('Forbidden')	application/xml	date:Tue,%2001%20Dec%202020%2006:36:49%20GMT	https://demo.hasthemes.com/robots.txt		(from )
10:36:49	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://demo.hasthemes.com/autima-preview/autima/assets/img/favicon.ico	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/img/favicon.ico	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
10:36:49	176883/176883	---M-Z	200	added ('OK')	text/css	etag:%22a5d050058948620c118504e1213ec252%22	https://demo.hasthemes.com/autima-preview/autima/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/css/bootstrap.min.css	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
10:36:50	3405/3405	---M-Z	200	added ('OK')	text/css	etag:%22a511ce945562e0ba5719a6ef9c49b43b%22	https://demo.hasthemes.com/autima-preview/autima/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/css/owl.carousel.min.css	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
10:36:50	1556/1556	---M-Z	200	added ('OK')	text/css	etag:%228f3d5c3d5ff0f1f6ded9efe4c7247733%22	https://demo.hasthemes.com/autima-preview/autima/assets/css/slick.css	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/css/slick.css	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
10:36:50	5666/5666	---M-Z	200	added ('OK')	text/css	etag:%2226f799275bfae8aebc92f7e237117864%22	https://demo.hasthemes.com/autima-preview/autima/assets/css/magnific-popup.css	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/css/magnific-popup.css	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
10:36:50	30896/30896	---M-Z	200	added ('OK')	text/css	etag:%2269ff86884e76f73ce063abfa4b9e15d0%22	https://demo.hasthemes.com/autima-preview/autima/assets/css/font.awesome.css	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/css/font.awesome.css	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
10:36:50	51315/51315	---M-Z	200	added ('OK')	text/css	etag:%2252dbaf23c79d00f9146086c43fe787dc%22	https://demo.hasthemes.com/autima-preview/autima/assets/css/ionicons.min.css	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/css/ionicons.min.css	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
10:36:51	75626/75626	---M-Z	200	added ('OK')	text/css	etag:%2275d7d514368969ff28155839a80dcda5%22	https://demo.hasthemes.com/autima-preview/autima/assets/css/animate.css	C:/My%20Web%20Sites/altima/demo.hasthemes.com/autima-preview/autima/assets/css/animate.css	(from https://demo.hasthemes.com/autima-preview/autima/index.html)
